user_id,first_order_day,most_used_city,count_cuisines,voucher_user,voucher_amount,member_get_member_viral,average_order_value,cnt_orders_7d_fwd,cnt_orders_14d_fwd,cnt_orders_30d_fwd,cnt_orders_60d_fwd,cnt_orders_90d_fwd,cnt_orders_6m_fwd
328156,09/07/2015,London,3,0,,,26.844,1,1,1,2,3,3
4527386,22/06/2016,London,1,0,,,54,1,1,1,1,1,1
5004198,10/07/2016,Manchester,1,0,,,41.64,1,1,1,1,1,1
379008,24/07/2015,London,2,0,,,20.07,1,1,1,1,1,1
1657412,22/01/2016,London,1,1,2.5,0,57,1,1,1,1,1,1
4406050,17/06/2016,London,1,0,,,13.68,1,1,1,1,1,1
2694206,25/03/2016,London,1,0,,,28.08,1,1,1,1,1,1
2207280,27/02/2016,Manchester,2,1,2.5,0,24.495,1,1,1,3,3,4
624722,21/03/2016,London,4,0,,,35.87328,1,1,1,1,4,9
2966674,07/05/2016,London,1,0,,,18.96,1,1,1,1,1,1
1015594,17/11/2015,London,1,1,10,0,22.8,1,1,1,1,1,1
2021558,15/02/2016,London,4,0,,,34.46664,1,1,2,3,5,9
1324034,17/12/2015,Manchester,2,0,,,37.09992,2,2,2,2,2,3
4992034,10/07/2016,London,1,0,,,31.68,1,1,1,1,1,1
2665784,24/03/2016,London,2,0,,,20.97,1,1,1,1,2,2
3200340,29/04/2016,London,1,0,,,49.92,1,1,1,1,1,1
528288,04/09/2015,London,5,0,,,64.05,1,1,1,1,1,4
2381270,08/03/2016,London,9,0,,,43.39644,2,3,4,14,18,24
302634,28/06/2015,London,4,0,,,37.7466,1,1,2,2,2,5
2407434,10/03/2016,Aberdeen,6,0,,,21.27,2,3,3,6,6,6
459688,12/01/2016,London,2,0,,,21.9,1,1,1,2,2,2
2066670,19/02/2016,London,6,0,,,23.56608,2,2,6,13,13,13
1016624,17/11/2015,London,1,1,10,0,18.36,1,1,1,1,1,1
4549968,23/06/2016,London,1,0,,,31.68,1,1,1,1,1,1
3127148,18/04/2016,Manchester,1,1,2.5,0,31.2,1,1,1,1,1,1
1875470,06/02/2016,London,1,0,,,45,1,1,1,1,1,1
4976014,09/07/2016,London,1,0,,,51.456,1,1,1,1,1,1
2200870,27/02/2016,London,1,0,,,18,1,1,1,1,1,1
375096,19/11/2015,London,1,0,,,64.98,1,1,1,1,1,1
4957424,09/07/2016,London,1,0,,,19.2,1,1,1,1,1,1
5045722,12/07/2016,London,3,0,,,43.92,4,4,4,4,4,4
4749538,01/07/2016,London,1,0,,,44.64,1,1,1,1,1,1
1526480,10/01/2016,London,3,0,,,111.55992,1,1,1,1,1,2
1431002,05/03/2016,London,3,0,,,27.72,1,1,3,4,5,6
3967596,28/05/2016,London,1,0,,,22.74,1,1,1,1,1,1
820500,24/10/2015,London,5,0,,,35.46,2,3,4,9,9,11
1025024,18/11/2015,London,9,0,,,45.8472,3,4,10,16,26,55
813880,23/10/2015,London,2,0,,,29.29992,1,1,2,3,4,4
1971544,13/02/2016,Manchester,8,0,,,32.09328,2,2,4,5,9,9
532252,05/09/2015,Manchester,5,1,10,0,30.99324,1,1,1,2,2,4
1392574,23/12/2015,London,1,0,,,21.48,1,1,1,1,1,1
548268,21/09/2015,London,5,0,,,30.462,1,1,1,3,5,15
3633074,13/05/2016,London,1,0,,,39,1,1,2,2,2,2
4485840,20/06/2016,London,1,0,,,22.86,1,1,2,2,2,2
1225648,08/12/2015,Aberdeen,1,0,,,29.28,1,1,1,1,1,1
4743134,01/07/2016,London,1,0,,,29.28,1,1,1,1,1,1
2925544,08/04/2016,London,1,0,,,22.56,1,1,1,1,1,1
4168670,06/06/2016,London,1,0,,,20.64,1,1,1,1,1,1
2574206,19/03/2016,Manchester,2,0,,,25.86,1,1,1,2,2,2
1322436,17/12/2015,London,2,0,,,38.91,1,1,1,1,2,2
3865026,23/05/2016,London,1,0,,,26.4,1,1,1,1,1,1
569000,13/09/2015,London,3,0,,,29.73996,1,1,1,2,2,3
2336520,05/03/2016,London,2,0,,,31.89,1,2,2,2,2,2
1283710,13/12/2015,London,1,0,,,34.62,1,1,2,2,2,2
2170464,25/02/2016,London,1,0,,,69.48,1,1,1,1,1,1
3356102,29/04/2016,London,2,0,,,52.59,1,1,1,2,2,2
640658,27/09/2015,Manchester,2,0,,,29.1,1,1,1,1,1,2
3131796,18/04/2016,London,4,0,,,32.592,2,2,2,8,14,14
